Starting the artificial neural network
Attempting feature set: ['danceability', 'energy', 'liveness', 'loudness', 'speechiness', 'tempo', 'valence', 'instrumentalness', 'acousticness']
Training the classifier...
[BernoulliRBM] Iteration 1, pseudo-likelihood = -4.89, time = 0.01s
[BernoulliRBM] Iteration 27, pseudo-likelihood = -3.26, time = 0.03s
[BernoulliRBM] Iteration 28, pseudo-likelihood = -3.26, time = 0.03s
[BernoulliRBM] Iteration 29, pseudo-likelihood = -3.26, time = 0.03s
[BernoulliRBM] Iteration 30, pseudo-likelihood = -3.26, time = 0.03s
[BernoulliRBM] Iteration 31, pseudo-likelihood = -3.25, time = 0.03s
Attempting feature set: ['danceability', 'loudness', 'speechiness', 'tempo', 'valence', 'instrumentalness', 'acousticness']
Training the classifier...
[BernoulliRBM] Iteration 1, pseudo-likelihood = -3.78, time = 0.01s
[BernoulliRBM] Iteration 2, pseudo-likelihood = -3.53, time = 0.03s
[BernoulliRBM] Iteration 3, pseudo-likelihood = -3.44, time = 0.03s
[BernoulliRBM] Iteration 4, pseudo-likelihood = -3.41, time = 0.03s
[BernoulliRBM] Iteration 5, pseudo-likelihood = -3.40, time = 0.03s
[BernoulliRBM] Iteration 6, pseudo-likelihood = -3.37, time = 0.03s
[BernoulliRBM] Iteration 7, pseudo-likelihood = -3.35, time = 0.03s
[BernoulliRBM] Iteration 8, pseudo-likelihood = -3.36, time = 0.03s
[BernoulliRBM] Iteration 9, pseudo-likelihood = -3.33, time = 0.03s
[BernoulliRBM] Iteration 10, pseudo-likelihood = -3.32, time = 0.03s
[BernoulliRBM] Iteration 11, pseudo-likelihood = -3.34, time = 0.03s
[BernoulliRBM] Iteration 12, pseudo-likelihood = -3.33, time = 0.03s
[BernoulliRBM] Iteration 13, pseudo-likelihood = -3.33, time = 0.03s
[BernoulliRBM] Iteration 14, pseudo-likelihood = -3.30, time = 0.03s
[BernoulliRBM] Iteration 15, pseudo-likelihood = -3.30, time = 0.03s
[BernoulliRBM] Iteration 16, pseudo-likelihood = -3.33, time = 0.03s
[BernoulliRBM] Iteration 17, pseudo-likelihood = -3.34, time = 0.03s
[BernoulliRBM] Iteration 18, pseudo-likelihood = -3.36, time = 0.03s
[BernoulliRBM] Iteration 19, pseudo-likelihood = -3.37, time = 0.03s
[BernoulliRBM] Iteration 20, pseudo-likelihood = -3.35, time = 0.03s
[BernoulliRBM] Iteration 21, pseudo-likelihood = -3.34, time = 0.03s
[BernoulliRBM] Iteration 22, pseudo-likelihood = -3.36, time = 0.03s
[BernoulliRBM] Iteration 23, pseudo-likelihood = -3.36, time = 0.03s
[BernoulliRBM] Iteration 24, pseudo-likelihood = -3.36, time = 0.03s
[BernoulliRBM] Iteration 25, pseudo-likelihood = -3.36, time = 0.03s
[BernoulliRBM] Iteration 26, pseudo-likelihood = -3.35, time = 0.03s
[BernoulliRBM] Iteration 27, pseudo-likelihood = -3.35, time = 0.03s
[BernoulliRBM] Iteration 28, pseudo-likelihood = -3.34, time = 0.03s
[BernoulliRBM] Iteration 29, pseudo-likelihood = -3.34, time = 0.03s
[BernoulliRBM] Iteration 30, pseudo-likelihood = -3.35, time = 0.03s
[BernoulliRBM] Iteration 31, pseudo-likelihood = -3.33, time = 0.03s
Attempting feature set: ['loudness', 'speechiness', 'tempo', 'valence', 'instrumentalness', 'acousticness']
Training the classifier...
[BernoulliRBM] Iteration 1, pseudo-likelihood = -3.13, time = 0.01s
[BernoulliRBM] Iteration 2, pseudo-likelihood = -2.89, time = 0.03s
[BernoulliRBM] Iteration 3, pseudo-likelihood = -2.79, time = 0.03s
[BernoulliRBM] Iteration 4, pseudo-likelihood = -2.75, time = 0.03s
[BernoulliRBM] Iteration 5, pseudo-likelihood = -2.70, time = 0.03s
[BernoulliRBM] Iteration 6, pseudo-likelihood = -2.70, time = 0.03s
[BernoulliRBM] Iteration 7, pseudo-likelihood = -2.68, time = 0.03s
[BernoulliRBM] Iteration 8, pseudo-likelihood = -2.68, time = 0.03s
[BernoulliRBM] Iteration 9, pseudo-likelihood = -2.66, time = 0.03s
[BernoulliRBM] Iteration 10, pseudo-likelihood = -2.66, time = 0.03s
[BernoulliRBM] Iteration 11, pseudo-likelihood = -2.68, time = 0.03s
[BernoulliRBM] Iteration 12, pseudo-likelihood = -2.66, time = 0.03s
[BernoulliRBM] Iteration 13, pseudo-likelihood = -2.66, time = 0.03s
[BernoulliRBM] Iteration 14, pseudo-likelihood = -2.66, time = 0.03s
[BernoulliRBM] Iteration 15, pseudo-likelihood = -2.65, time = 0.03s
[BernoulliRBM] Iteration 16, pseudo-likelihood = -2.67, time = 0.03s
[BernoulliRBM] Iteration 17, pseudo-likelihood = -2.69, time = 0.03s
[BernoulliRBM] Iteration 18, pseudo-likelihood = -2.68, time = 0.03s
[BernoulliRBM] Iteration 19, pseudo-likelihood = -2.66, time = 0.03s
[BernoulliRBM] Iteration 20, pseudo-likelihood = -2.65, time = 0.03s
[BernoulliRBM] Iteration 21, pseudo-likelihood = -2.65, time = 0.03s
[BernoulliRBM] Iteration 22, pseudo-likelihood = -2.66, time = 0.03s
[BernoulliRBM] Iteration 23, pseudo-likelihood = -2.68, time = 0.03s
[BernoulliRBM] Iteration 24, pseudo-likelihood = -2.66, time = 0.03s
[BernoulliRBM] Iteration 25, pseudo-likelihood = -2.66, time = 0.03s
[BernoulliRBM] Iteration 26, pseudo-likelihood = -2.69, time = 0.03s
[BernoulliRBM] Iteration 27, pseudo-likelihood = -2.67, time = 0.03s
[BernoulliRBM] Iteration 28, pseudo-likelihood = -2.68, time = 0.03s
[BernoulliRBM] Iteration 29, pseudo-likelihood = -2.66, time = 0.03s
[BernoulliRBM] Iteration 30, pseudo-likelihood = -2.68, time = 0.03s
[BernoulliRBM] Iteration 31, pseudo-likelihood = -2.67, time = 0.03s
Attempting feature set: ['danceability', 'energy', 'liveness', 'speechiness', 'tempo', 'valence', 'instrumentalness', 'acousticness']
Training the classifier...
[BernoulliRBM] Iteration 1, pseudo-likelihood = -4.10, time = 0.01s
[BernoulliRBM] Iteration 2, pseudo-likelihood = -3.79, time = 0.03s
[BernoulliRBM] Iteration 3, pseudo-likelihood = -3.66, time = 0.03s
[BernoulliRBM] Iteration 4, pseudo-likelihood = -3.59, time = 0.03s
[BernoulliRBM] Iteration 5, pseudo-likelihood = -3.57, time = 0.03s
[BernoulliRBM] Iteration 6, pseudo-likelihood = -3.52, time = 0.03s
[BernoulliRBM] Iteration 7, pseudo-likelihood = -3.54, time = 0.03s
[BernoulliRBM] Iteration 8, pseudo-likelihood = -3.54, time = 0.03s
[BernoulliRBM] Iteration 9, pseudo-likelihood = -3.53, time = 0.03s
[BernoulliRBM] Iteration 10, pseudo-likelihood = -3.50, time = 0.03s
[BernoulliRBM] Iteration 11, pseudo-likelihood = -3.50, time = 0.03s
[BernoulliRBM] Iteration 12, pseudo-likelihood = -3.50, time = 0.03s
[BernoulliRBM] Iteration 13, pseudo-likelihood = -3.48, time = 0.03s
[BernoulliRBM] Iteration 14, pseudo-likelihood = -3.51, time = 0.03s
[BernoulliRBM] Iteration 15, pseudo-likelihood = -3.48, time = 0.03s
[BernoulliRBM] Iteration 16, pseudo-likelihood = -3.50, time = 0.03s
[BernoulliRBM] Iteration 17, pseudo-likelihood = -3.49, time = 0.03s
[BernoulliRBM] Iteration 18, pseudo-likelihood = -3.50, time = 0.03s
[BernoulliRBM] Iteration 19, pseudo-likelihood = -3.51, time = 0.03s
[BernoulliRBM] Iteration 20, pseudo-likelihood = -3.52, time = 0.03s
[BernoulliRBM] Iteration 21, pseudo-likelihood = -3.51, time = 0.03s
[BernoulliRBM] Iteration 22, pseudo-likelihood = -3.52, time = 0.03s
[BernoulliRBM] Iteration 23, pseudo-likelihood = -3.50, time = 0.03s
[BernoulliRBM] Iteration 24, pseudo-likelihood = -3.49, time = 0.03s
[BernoulliRBM] Iteration 25, pseudo-likelihood = -3.51, time = 0.03s
[BernoulliRBM] Iteration 26, pseudo-likelihood = -3.52, time = 0.03s
[BernoulliRBM] Iteration 27, pseudo-likelihood = -3.49, time = 0.03s
[BernoulliRBM] Iteration 28, pseudo-likelihood = -3.52, time = 0.03s
[BernoulliRBM] Iteration 29, pseudo-likelihood = -3.50, time = 0.03s
[BernoulliRBM] Iteration 30, pseudo-likelihood = -3.51, time = 0.03s
[BernoulliRBM] Iteration 31, pseudo-likelihood = -3.50, time = 0.03s
Attempting feature set: ['energy', 'liveness', 'speechiness', 'tempo', 'valence', 'instrumentalness', 'acousticness']
Training the classifier...
[BernoulliRBM] Iteration 1, pseudo-likelihood = -3.50, time = 0.01s
[BernoulliRBM] Iteration 2, pseudo-likelihood = -3.15, time = 0.03s
[BernoulliRBM] Iteration 3, pseudo-likelihood = -3.04, time = 0.03s
[BernoulliRBM] Iteration 4, pseudo-likelihood = -3.00, time = 0.03s
[BernoulliRBM] Iteration 5, pseudo-likelihood = -2.96, time = 0.03s
[BernoulliRBM] Iteration 6, pseudo-likelihood = -2.94, time = 0.03s
[BernoulliRBM] Iteration 7, pseudo-likelihood = -2.91, time = 0.03s
[BernoulliRBM] Iteration 8, pseudo-likelihood = -2.92, time = 0.03s
[BernoulliRBM] Iteration 9, pseudo-likelihood = -2.88, time = 0.03s
[BernoulliRBM] Iteration 10, pseudo-likelihood = -2.89, time = 0.03s
[BernoulliRBM] Iteration 11, pseudo-likelihood = -2.90, time = 0.03s
[BernoulliRBM] Iteration 12, pseudo-likelihood = -2.90, time = 0.03s
[BernoulliRBM] Iteration 13, pseudo-likelihood = -2.91, time = 0.03s
[BernoulliRBM] Iteration 14, pseudo-likelihood = -2.89, time = 0.03s
[BernoulliRBM] Iteration 15, pseudo-likelihood = -2.89, time = 0.03s
[BernoulliRBM] Iteration 16, pseudo-likelihood = -2.92, time = 0.03s
[BernoulliRBM] Iteration 17, pseudo-likelihood = -2.94, time = 0.03s
[BernoulliRBM] Iteration 18, pseudo-likelihood = -2.94, time = 0.03s
[BernoulliRBM] Iteration 19, pseudo-likelihood = -2.94, time = 0.03s
[BernoulliRBM] Iteration 20, pseudo-likelihood = -2.93, time = 0.03s
[BernoulliRBM] Iteration 21, pseudo-likelihood = -2.91, time = 0.03s
[BernoulliRBM] Iteration 22, pseudo-likelihood = -2.92, time = 0.03s
[BernoulliRBM] Iteration 23, pseudo-likelihood = -2.91, time = 0.03s
[BernoulliRBM] Iteration 24, pseudo-likelihood = -2.91, time = 0.03s
[BernoulliRBM] Iteration 25, pseudo-likelihood = -2.91, time = 0.03s
[BernoulliRBM] Iteration 26, pseudo-likelihood = -2.94, time = 0.03s
[BernoulliRBM] Iteration 27, pseudo-likelihood = -2.92, time = 0.03s
[BernoulliRBM] Iteration 28, pseudo-likelihood = -2.92, time = 0.03s
[BernoulliRBM] Iteration 29, pseudo-likelihood = -2.92, time = 0.03s
[BernoulliRBM] Iteration 30, pseudo-likelihood = -2.92, time = 0.03s
[BernoulliRBM] Iteration 31, pseudo-likelihood = -2.89, time = 0.03s
Attempting feature set: ['danceability', 'liveness', 'speechiness', 'tempo', 'valence', 'instrumentalness', 'acousticness']
Training the classifier...
[BernoulliRBM] Iteration 1, pseudo-likelihood = -3.56, time = 0.01s
[BernoulliRBM] Iteration 2, pseudo-likelihood = -3.23, time = 0.03s
[BernoulliRBM] Iteration 3, pseudo-likelihood = -3.13, time = 0.03s
[BernoulliRBM] Iteration 4, pseudo-likelihood = -3.07, time = 0.03s
[BernoulliRBM] Iteration 5, pseudo-likelihood = -3.04, time = 0.03s
[BernoulliRBM] Iteration 6, pseudo-likelihood = -3.02, time = 0.03s
[BernoulliRBM] Iteration 7, pseudo-likelihood = -3.00, time = 0.03s
[BernoulliRBM] Iteration 8, pseudo-likelihood = -3.01, time = 0.03s
[BernoulliRBM] Iteration 9, pseudo-likelihood = -2.99, time = 0.03s
[BernoulliRBM] Iteration 10, pseudo-likelihood = -2.99, time = 0.03s
[BernoulliRBM] Iteration 11, pseudo-likelihood = -3.00, time = 0.03s
[BernoulliRBM] Iteration 12, pseudo-likelihood = -3.00, time = 0.03s
[BernoulliRBM] Iteration 13, pseudo-likelihood = -2.99, time = 0.03s
[BernoulliRBM] Iteration 14, pseudo-likelihood = -2.97, time = 0.03s
[BernoulliRBM] Iteration 15, pseudo-likelihood = -2.97, time = 0.03s
[BernoulliRBM] Iteration 16, pseudo-likelihood = -3.00, time = 0.03s
[BernoulliRBM] Iteration 17, pseudo-likelihood = -3.02, time = 0.03s
[BernoulliRBM] Iteration 18, pseudo-likelihood = -3.02, time = 0.03s
